molecule_chembl_id,molecule_pref_name,assay_chembl_id,activity_id,standard_type,standard_relation,standard_value,standard_units,pchembl_value,metric_role,metric_scale,value_nm,pactivity,role_rule,glucose_mM_parsed,activity_comment,potential_duplicate,doc_chembl_id,doc_year,src_short_name,assay_description
CHEMBL1821912,,CHEMBL1825590,6351459,Ratio,=,1.98,,,efficacy,fold,,,自由文本指标 Ratio 受限提升为效能(fold)，描述命中：「ratio of enzyme activation in treated to untreated control」,5,,0,CHEMBL1821720,2011,LITERATURE,Activation of human recombinant glucokinase expressed in Escherichia coli coexpressing G6PDH at 10 uM using 5 mM glucose measured as ratio of enzyme activation in treated to untreated control by G6PDH coupled continuous spectrophotometric assay
CHEMBL1821912,,CHEMBL1825591,6351525,Ratio,=,0.282,,,efficacy,fold,,,自由文本指标 Ratio 受限提升为效能(fold)，描述命中：「ratio of enzyme activation in compound treated」,5,,0,CHEMBL1821720,2011,LITERATURE,Activation of human recombinant glucokinase expressed in Escherichia coli coexpressing G6PDH at 10 uM using 5 mM glucose measured as ratio of enzyme activation in compound treated to Ro-28-1675 by G6PDH coupled continuous spectrophotometric assay
CHEMBL1821912,,CHEMBL1825592,6351591,Ratio,=,1.51,,,efficacy,fold,,,自由文本指标 Ratio 受限提升为效能(fold)，描述命中：「ratio of enzyme activation in treated to untreated control」,20,,0,CHEMBL1821720,2011,LITERATURE,Activation of human recombinant glucokinase expressed in Escherichia coli coexpressing G6PDH at 10 uM using 20 mM glucose measured as ratio of enzyme activation in treated to untreated control by G6PDH coupled continuous spectrophotometric assay
CHEMBL1821912,,CHEMBL1825593,6352526,Ratio,=,0.331,,,efficacy,fold,,,自由文本指标 Ratio 受限提升为效能(fold)，描述命中：「ratio of enzyme activation in compound treated」,5,,0,CHEMBL1821720,2011,LITERATURE,Activation of human recombinant glucokinase expressed in Escherichia coli coexpressing G6PDH at 10 uM using 5 mM glucose measured as ratio of enzyme activation in compound treated to Ro-28-1675 by G6PDH coupled continuous spectrophotometric assay
CHEMBL1821913,,CHEMBL1825590,6351460,Ratio,=,2.07,,,efficacy,fold,,,自由文本指标 Ratio 受限提升为效能(fold)，描述命中：「ratio of enzyme activation in treated to untreated control」,5,,0,CHEMBL1821720,2011,LITERATURE,Activation of human recombinant glucokinase expressed in Escherichia coli coexpressing G6PDH at 10 uM using 5 mM glucose measured as ratio of enzyme activation in treated to untreated control by G6PDH coupled continuous spectrophotometric assay
CHEMBL1821913,,CHEMBL1825591,6351526,Ratio,=,0.29,,,efficacy,fold,,,自由文本指标 Ratio 受限提升为效能(fold)，描述命中：「ratio of enzyme activation in compound treated」,5,,0,CHEMBL1821720,2011,LITERATURE,Activation of human recombinant glucokinase expressed in Escherichia coli coexpressing G6PDH at 10 uM using 5 mM glucose measured as ratio of enzyme activation in compound treated to Ro-28-1675 by G6PDH coupled continuous spectrophotometric assay
CHEMBL1821913,,CHEMBL1825592,6351592,Ratio,=,1.44,,,efficacy,fold,,,自由文本指标 Ratio 受限提升为效能(fold)，描述命中：「ratio of enzyme activation in treated to untreated control」,20,,0,CHEMBL1821720,2011,LITERATURE,Activation of human recombinant glucokinase expressed in Escherichia coli coexpressing G6PDH at 10 uM using 20 mM glucose measured as ratio of enzyme activation in treated to untreated control by G6PDH coupled continuous spectrophotometric assay
CHEMBL1821913,,CHEMBL1825593,6352527,Ratio,=,0.287,,,efficacy,fold,,,自由文本指标 Ratio 受限提升为效能(fold)，描述命中：「ratio of enzyme activation in compound treated」,5,,0,CHEMBL1821720,2011,LITERATURE,Activation of human recombinant glucokinase expressed in Escherichia coli coexpressing G6PDH at 10 uM using 5 mM glucose measured as ratio of enzyme activation in compound treated to Ro-28-1675 by G6PDH coupled continuous spectrophotometric assay
CHEMBL1821914,,CHEMBL1825590,6351461,Ratio,=,1.56,,,efficacy,fold,,,自由文本指标 Ratio 受限提升为效能(fold)，描述命中：「ratio of enzyme activation in treated to untreated control」,5,,0,CHEMBL1821720,2011,LITERATURE,Activation of human recombinant glucokinase expressed in Escherichia coli coexpressing G6PDH at 10 uM using 5 mM glucose measured as ratio of enzyme activation in treated to untreated control by G6PDH coupled continuous spectrophotometric assay
CHEMBL1821914,,CHEMBL1825591,6351527,Ratio,=,0.151,,,efficacy,fold,,,自由文本指标 Ratio 受限提升为效能(fold)，描述命中：「ratio of enzyme activation in compound treated」,5,,0,CHEMBL1821720,2011,LITERATURE,Activation of human recombinant glucokinase expressed in Escherichia coli coexpressing G6PDH at 10 uM using 5 mM glucose measured as ratio of enzyme activation in compound treated to Ro-28-1675 by G6PDH coupled continuous spectrophotometric assay
